Issue key,Summary,Description,Status,Priority,Created,Updated,Sprint,Assignee
APL-131,Cloud deployment test 9,Deploy regional nodes to production.,Done,High,2026-05-02 09:00:00,2026-05-14 17:00:00,Sprint 3,Developer C
APL-132,Cloud deployment test 10,Deploy regional nodes to production.,Done,High,2026-05-02 09:00:00,2026-05-14 17:00:00,Sprint 3,Developer C
APL-133,Cloud deployment test 11,Deploy regional nodes to production.,Done,High,2026-05-02 09:00:00,2026-05-14 17:00:00,Sprint 3,Developer C
APL-134,Cloud deployment test 12,Deploy regional nodes to production.,Done,High,2026-05-02 09:00:00,2026-05-14 17:00:00,Sprint 3,Developer C
APL-135,BLOCKED: Regional cloud gateway provider blackout,"Deployment server is blocked due to the cloud provider outage, on hold for 8 days.",Blocked,Critical,2026-05-05 10:00:00,2026-05-24 12:00:00,Sprint 3,Developer C
APL-136,Analytics module 1,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-137,Analytics module 2,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-138,Analytics module 3,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-139,Analytics module 4,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-140,Analytics module 5,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-141,Analytics module 6,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-142,Analytics module 7,Setup dashboard visuals.,Done,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-143,Analytics module 8,Setup dashboard visuals.,In Progress,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-144,Analytics module 9,Setup dashboard visuals.,In Progress,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-145,Analytics module 10,Setup dashboard visuals.,In Progress,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-146,Analytics module 11,Setup dashboard visuals.,In Progress,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-147,Analytics module 12,Setup dashboard visuals.,In Progress,Medium,2026-05-16 09:00:00,2026-05-28 17:00:00,Sprint 4,Developer D
APL-149,UNFINISHED: Resolving database technical debt fallout,Obsolete connectors and waiting for legacy schema dependency migrations.,In Progress,High,2026-05-22 09:00:00,2026-05-28 18:00:00,Sprint 4,Developer E
